Country,Total,Beer,Wine,Spirits,Other,Continent
Afghanistan,0.02,0,0,0.01,0,Asia
Albania,6.68,1.61,0.94,2.3,0.02,Europe
Algeria,0.96,0.09,0.07,0,0.5,Africa
Andorra,15.48,3.93,5.69,3.14,0,Europe
Angola,5.4,1.81,1.37,1.12,0.41,Africa
Antigua and Barbuda,7.22,2.67,1.7,5.04,0.09,North America
Argentina,10,2.49,4.62,0.52,0.2,South America
Armenia,11.35,1.05,0.39,0.65,9.36,Asia
Australia,10.02,4.56,3.12,1.16,1.02,Australia
Austria,13.24,6.7,4.1,1.6,0.4,Europe
Azerbaijan,10.6,7,0.03,0.97,0,Asia
Bahamas,8.76,3.99,1.55,5.27,0.23,North America
Bahrain,3.66,1.91,0.52,1.24,0,Asia
Bangladesh,0.2,0,0,0,0,Asia
Barbados,6.91,2.9,0.73,3.78,0.17,North America
Belarus,15.13,1.84,0.8,4.08,2.67,Europe
Belgium,10.77,5.49,3.55,0.62,0.03,Europe
Belize,6.07,3.89,0.13,1.78,0.01,North America
Benin,2.15,0.49,0.14,0.15,0.3,Africa
Bhutan,0.55,0.21,0,0,0,Asia
Bolivia,5.12,2.17,0.06,0.61,0,South America
Bosnia and Herzegovina,9.63,2.22,0.34,7.08,0,Europe
Botswana,7.96,2.56,0.04,0,1.88,Africa
Brazil,9.16,3.36,0.33,2.49,0.03,South America
Brunei,2.01,1.67,0.02,0.05,0,Asia
Bulgaria,12.44,3.53,2.44,4.88,0.1,Europe
Burkina Faso,6.98,0.41,0.09,0.42,3.77,Africa
Burma,0.57,0.1,0,0.01,0.01,Asia
Burundi,9.47,1.16,0.01,0,5.07,Africa
Cambodia,4.77,0.74,0.02,1.21,0,Asia
Cameroon,7.57,2.05,0.05,0,2.6,Africa
Canada,9.77,4.1,1.5,2.1,0,North America
Cape Verde,4.96,0.36,1.99,0.14,0,Africa
Central African Republic,3.35,0.21,0.02,0.03,1.37,Africa
Chad,4.38,0.23,0.01,0.02,0.15,Africa
Chile,8.55,2.03,2.59,2.16,0.04,South America
China,5.91,1.5,0.15,2.51,0.23,Asia
Colombia,6.17,2.71,0.08,1.44,0.02,South America
Comoros,0.76,0.17,0.02,0.03,0,Africa
